"","Final_Light_intensity","Verified_Predicted_y"
"199",76.2794084598153,198.999999999966
"200",77.2774038904384,200.000000000007
"201",78.2792562665292,201.000000000013
"202",79.285403709624,202.000000000049
"203",80.2963305669411,203.000000000118
"204",81.3125648828863,204.000000000277
"205",82.3346759495868,204.999999999958
"206",83.363271921718,206.000000000003
"207",84.398997454275,206.999999999999
"208",85.4425313257364,207.999999999998
"209",86.4945839812009,209.000000000006
"210",87.5558949298317,210.000000000004
"211",88.6272299203523,210.999999999999
"212",89.7093778141267,212.00000000001
"213",90.803147074687,212.999999999996
"214",91.9093617963418,214.000000000021
"215",93.0288572042302,215.000000000014
"216",94.1624745756299,216.00000000002
"217",95.3110555568397,216.999999999993
"218",96.4754358833897,218.000000000009
"219",97.6564385498758,219.000000000002
"220",98.8548665154672,220.000000000018
